,Data,Category,State,Year,St_Abbr,Location,Group,Population,Geometry,Total
36,15.0,Binge Drinking,Arkansas,2022,AR,Garland,Health Risk Behaviors,100089,POINT (-93.1504977724069 34.5766230811054),15213
37,15.0,Binge Drinking,Arkansas,2022,AR,Scott,Health Risk Behaviors,9805,POINT (-94.06316918547 34.8608770716874),1441
38,14.0,Binge Drinking,Alabama,2022,AL,Russell,Health Risk Behaviors,58555,POINT (-85.1846581812352 32.2882099895674),8080
39,14.0,Binge Drinking,Arkansas,2022,AR,Jefferson,Health Risk Behaviors,64246,POINT (-91.9306504433258 34.2684876070299),8930
40,13.0,Binge Drinking,Alabama,2022,AL,Talladega,Health Risk Behaviors,80704,POINT (-86.1654714346314 33.3800641404691),10733
41,14.0,Binge Drinking,Alabama,2022,AL,Lamar,Health Risk Behaviors,13705,POINT (-88.0969548281156 33.7791463830423),1904
42,18.0,Binge Drinking,Alaska,2022,AK,Southeast Fairbanks,Health Risk Behaviors,7021,POINT (-143.213550848982 63.8762788125121),1256
43,18.0,Binge Drinking,California,2022,CA,Inyo,Health Risk Behaviors,18718,POINT (-117.411112581295 36.5114226868129),3369
44,19.0,Binge Drinking,Alaska,2022,AK,Lake and Peninsula,Health Risk Behaviors,1381,POINT (-156.194112811655 58.6489291768631),256
45,17.0,Binge Drinking,Arkansas,2022,AR,Lonoke,Health Risk Behaviors,75225,POINT (-91.8886806209445 34.7543403081242),12713
46,18.0,Binge Drinking,California,2022,CA,Madera,Health Risk Behaviors,160256,POINT (-119.762622561071 37.2181735184536),29647
47,18.0,Binge Drinking,California,2022,CA,Imperial,Health Risk Behaviors,178713,POINT (-115.365089023702 33.0401896009011),31989
48,15.0,Binge Drinking,Arkansas,2022,AR,Little River,Health Risk Behaviors,11821,POINT (-94.2341214453394 33.7020296690166),1749
49,15.0,Binge Drinking,Alabama,2022,AL,Blount,Health Risk Behaviors,59512,POINT (-86.5674545509626 33.9808484356408),9045
50,14.0,Binge Drinking,Arkansas,2022,AR,Montgomery,Health Risk Behaviors,8556,POINT (-93.6594929570876 34.5391664075576),1163
51,15.0,Binge Drinking,Arkansas,2022,AR,Howard,Health Risk Behaviors,12557,POINT (-93.9938053308515 34.0889044688856),1883
52,18.0,Binge Drinking,Alaska,2022,AK,Sitka,Health Risk Behaviors,8382,POINT (-135.315163429465 57.2335274122738),1517
53,18.0,Binge Drinking,California,2022,CA,Contra Costa,Health Risk Behaviors,1156966,POINT (-121.927326815652 37.9192010440958),208253
54,13.0,Binge Drinking,Alabama,2022,AL,Chambers,Health Risk Behaviors,34088,POINT (-85.3917577489906 32.9141677822456),4295
55,15.0,Binge Drinking,Alabama,2022,AL,Lawrence,Health Risk Behaviors,33214,POINT (-87.3108851040374 34.5216735395968),4915
56,14.0,Binge Drinking,Arkansas,2022,AR,Van Buren,Health Risk Behaviors,16102,POINT (-92.5158922653774 35.5806118772188),2173
57,16.0,Binge Drinking,California,2022,CA,Mariposa,Health Risk Behaviors,17020,POINT (-119.905412294091 37.5815463688348),2740
58,10.0,Binge Drinking,Alabama,2022,AL,Wilcox,Health Risk Behaviors,10059,POINT (-87.3083095693845 31.9892939338512),1026
59,21.0,Binge Drinking,Alaska,2022,AK,Northwest Arctic,Health Risk Behaviors,7423,POINT (-159.722233405755 67.0527933404638),1536
60,19.0,Binge Drinking,California,2022,CA,Placer,Health Risk Behaviors,417772,POINT (-120.717993200586 39.0633030825061),78123
61,16.0,Binge Drinking,Alabama,2022,AL,Baldwin,Health Risk Behaviors,246435,POINT (-87.7226204578951 30.7277455824565),38690
62,11.0,Binge Drinking,Alabama,2022,AL,Macon,Health Risk Behaviors,18516,POINT (-85.6921198346528 32.3858126404866),1999
63,16.0,Binge Drinking,California,2022,CA,Santa Clara,Health Risk Behaviors,1870945,POINT (-121.695251446392 37.2316875247769),297480
64,13.0,Binge Drinking,Alabama,2022,AL,Fayette,Health Risk Behaviors,16118,POINT (-87.7389050506601 33.7211713531213),2159
65,17.0,Binge Drinking,California,2022,CA,Lake,Health Risk Behaviors,68191,POINT (-122.753413599125 39.0999886976907),11319
66,16.0,Binge Drinking,Alabama,2022,AL,Shelby,Health Risk Behaviors,230115,POINT (-86.6608662882591 33.2645243865867),35667
67,19.0,Binge Drinking,Alaska,2022,AK,Nome,Health Risk Behaviors,9835,POINT (-164.033919932189 64.9109901665876),1858
68,15.0,Binge Drinking,Alabama,2022,AL,Autauga,Health Risk Behaviors,59759,POINT (-86.6428164158396 32.5350016195151),9202
69,18.0,Binge Drinking,California,2022,CA,Merced,Health Risk Behaviors,290014,POINT (-120.717750083358 37.1917830406782),51332
70,14.0,Binge Drinking,Alabama,2022,AL,Jefferson,Health Risk Behaviors,665409,POINT (-86.896632302754 33.554557948471),92491
71,16.0,Binge Drinking,California,2022,CA,Siskiyou,Health Risk Behaviors,43660,POINT (-122.5405492735 41.5927246019871),7203
72,19.0,Binge Drinking,California,2022,CA,Humboldt,Health Risk Behaviors,135010,POINT (-123.875674190259 40.6992051844633),25516
73,13.0,Binge Drinking,Alabama,2022,AL,Houston,Health Risk Behaviors,108079,POINT (-85.3024748570754 31.153023163546),14374
74,14.0,Binge Drinking,Alabama,2022,AL,Jackson,Health Risk Behaviors,52891,POINT (-85.9995052603961 34.7796392771775),7563
75,13.0,Binge Drinking,Alabama,2022,AL,Covington,Health Risk Behaviors,37602,POINT (-86.451444907521 31.2486200676573),5001
76,16.0,Binge Drinking,Arkansas,2022,AR,Boone,Health Risk Behaviors,38284,POINT (-93.0916817879006 36.3086436758994),6240
77,15.0,Binge Drinking,Arkansas,2022,AR,Calhoun,Health Risk Behaviors,4695,POINT (-92.5029413111612 33.5580587155721),704
78,15.0,Binge Drinking,Arkansas,2022,AR,Conway,Health Risk Behaviors,21046,POINT (-92.701239973211 35.2625436321328),3072
79,13.0,Binge Drinking,Arkansas,2022,AR,Stone,Health Risk Behaviors,12575,POINT (-92.1570988831634 35.8596284960808),1634
80,14.0,Binge Drinking,Arkansas,2022,AR,Cleveland,Health Risk Behaviors,7467,POINT (-92.1849717548295 33.8983818787189),1052
81,13.0,Binge Drinking,Alabama,2022,AL,Escambia,Health Risk Behaviors,36666,POINT (-87.1617426535115 31.1261990377952),4693
82,18.0,Binge Drinking,Alaska,2022,AK,Matanuska-Susitna,Health Risk Behaviors,113325,POINT (-149.573459107234 62.3154231338699),20058
83,11.0,Binge Drinking,Arkansas,2022,AR,Phillips,Health Risk Behaviors,15304,POINT (-90.8486929377124 34.4276555514265),1683
84,18.0,Binge Drinking,California,2022,CA,Los Angeles,Health Risk Behaviors,9721138,POINT (-118.224550062411 34.321384729882),1710920
85,15.0,Binge Drinking,Alabama,2022,AL,Tuscaloosa,Health Risk Behaviors,236780,POINT (-87.5254019048087 33.2894088277374),36464
86,17.0,Binge Drinking,Arizona,2022,AZ,Pinal,Health Risk Behaviors,464154,POINT (-111.344793224721 32.9045145361574),79370
87,15.0,Binge Drinking,Arkansas,2022,AR,Pike,Health Risk Behaviors,10179,POINT (-93.6567760728936 34.1639175444477),1567
88,12.0,Binge Drinking,Alabama,2022,AL,Bullock,Health Risk Behaviors,10202,POINT (-85.7157596722874 32.1005731304216),1193
89,16.0,Binge Drinking,Arkansas,2022,AR,Greene,Health Risk Behaviors,46448,POINT (-90.5590804450475 36.1176154800063),7663
90,20.0,Binge Drinking,California,2022,CA,Mono,Health Risk Behaviors,12978,POINT (-118.887441843869 37.9391655989695),2621
91,13.0,Binge Drinking,Arkansas,2022,AR,St. Francis,Health Risk Behaviors,22451,POINT (-90.7484778577097 35.0221692427635),2896
92,19.0,Binge Drinking,California,2022,CA,San Luis Obispo,Health Risk Behaviors,282013,POINT (-120.404478346917 35.387112949635),54710
93,17.0,Binge Drinking,Arizona,2022,AZ,Yuma,Health Risk Behaviors,207842,POINT (-113.905997385394 32.7694427722845),35748
94,14.0,Binge Drinking,Arkansas,2022,AR,Marion,Health Risk Behaviors,17254,POINT (-92.6845075082366 36.2686505271229),2363
95,16.0,Binge Drinking,Arkansas,2022,AR,Hot Spring,Health Risk Behaviors,33203,POINT (-92.9452244629986 34.31776968917),5246
96,12.0,Binge Drinking,Arkansas,2022,AR,Lafayette,Health Risk Behaviors,6101,POINT (-93.6074236583095 33.241415618939),756
97,14.0,Binge Drinking,Alabama,2022,AL,Bibb,Health Risk Behaviors,22005,POINT (-87.1265925390144 32.9984605509544),3190
98,22.0,Binge Drinking,California,2022,CA,San Francisco,Health Risk Behaviors,808437,POINT (-122.439681175401 37.7566838021847),177856
99,16.0,Binge Drinking,Alaska,2022,AK,Hoonah-Angoon,Health Risk Behaviors,2287,POINT (-135.641352469501 58.2866674624936),375
100,20.0,Binge Drinking,California,2022,CA,Santa Barbara,Health Risk Behaviors,443837,POINT (-120.015341806806 34.6714050399297),88323
101,20.0,Binge Drinking,California,2022,CA,Kings,Health Risk Behaviors,152981,POINT (-119.815394099578 36.0752380305363),30137
102,15.0,Binge Drinking,Arizona,2022,AZ,Yavapai,Health Risk Behaviors,246191,POINT (-112.553640853115 34.5996977529402),36190
103,13.0,Binge Drinking,Alabama,2022,AL,Henry,Health Risk Behaviors,17655,POINT (-85.2412788046304 31.5148475570572),2312
104,13.0,Binge Drinking,Arkansas,2022,AR,Dallas,Health Risk Behaviors,6191,POINT (-92.6542603960231 33.9697415127666),804
105,16.0,Binge Drinking,Arkansas,2022,AR,Drew,Health Risk Behaviors,16911,POINT (-91.7196579038053 33.5894113647675),2638
106,18.0,Binge Drinking,California,2022,CA,Kern,Health Risk Behaviors,916108,POINT (-118.730029086317 35.3428262386385),165815
107,19.0,Binge Drinking,Alaska,2022,AK,Petersburg,Health Risk Behaviors,3360,POINT (-132.936273558469 57.1215033506989),631
108,17.0,Binge Drinking,Arkansas,2022,AR,Grant,Health Risk Behaviors,18160,POINT (-92.4234453390766 34.290047947646),3087
109,16.0,Binge Drinking,Arkansas,2022,AR,Yell,Health Risk Behaviors,20129,POINT (-93.4103078380225 35.002782920903),3200
110,15.0,Binge Drinking,Alabama,2022,AL,Chilton,Health Risk Behaviors,45884,POINT (-86.7185602930782 32.8479267319968),6974
111,16.0,Binge Drinking,Alaska,2022,AK,Wrangell,Health Risk Behaviors,2070,POINT (-132.033291099899 56.3275352874816),329
112,22.0,Binge Drinking,Alaska,2022,AK,Fairbanks North Star,Health Risk Behaviors,95356,POINT (-146.565627734256 64.8075316814407),20787
113,18.0,Binge Drinking,Alaska,2022,AK,Kusilvak,Health Risk Behaviors,8278,POINT (-163.385871730467 62.1566155670538),1498
114,11.0,Binge Drinking,Alabama,2022,AL,Sumter,Health Risk Behaviors,11853,POINT (-88.1991356439475 32.5909755138009),1327
115,13.0,Binge Drinking,Arkansas,2022,AR,Ouachita,Health Risk Behaviors,22049,POINT (-92.882040791321 33.593253927504),2844
116,10.0,Binge Drinking,Alabama,2022,AL,Perry,Health Risk Behaviors,8035,POINT (-87.2942727229619 32.6384797740624),843
117,21.0,Binge Drinking,California,2022,CA,Lassen,Health Risk Behaviors,29904,POINT (-120.594352001291 40.6734626858289),6220
118,18.0,Binge Drinking,California,2022,CA,Glenn,Health Risk Behaviors,28339,POINT (-122.392432829407 39.5983868407646),5186
119,19.0,Binge Drinking,California,2022,CA,El Dorado,Health Risk Behaviors,192646,POINT (-120.524584137234 38.7786875121222),36795
120,15.0,Binge Drinking,Alabama,2022,AL,Limestone,Health Risk Behaviors,110900,POINT (-86.9814538074536 34.8102607960627),16967
121,12.0,Binge Drinking,Alabama,2022,AL,Barbour,Health Risk Behaviors,24706,POINT (-85.3928136383141 31.8698172860413),3014
122,16.0,Binge Drinking,Alabama,2022,AL,St. Clair,Health Risk Behaviors,93932,POINT (-86.3145905166032 33.7153193943775),15404
123,13.0,Binge Drinking,Arkansas,2022,AR,Baxter,Health Risk Behaviors,42435,POINT (-92.3369593879758 36.2869936509323),5601
124,14.0,Binge Drinking,Arkansas,2022,AR,Arkansas,Health Risk Behaviors,16512,POINT (-91.3742443996367 34.2890451226643),2295
125,18.0,Binge Drinking,Arkansas,2022,AR,Pulaski,Health Risk Behaviors,399145,POINT (-92.3119548341849 34.7700394452014),70249
126,20.0,Binge Drinking,Arizona,2022,AZ,Coconino,Health Risk Behaviors,144060,POINT (-111.770577149727 35.8387928971913),28812
127,12.0,Binge Drinking,Alabama,2022,AL,Monroe,Health Risk Behaviors,19404,POINT (-87.3654708804686 31.570816777416),2367
128,20.0,Binge Drinking,Alaska,2022,AK,Skagway,Health Risk Behaviors,1081,POINT (-135.336028290736 59.5592737178809),214
129,18.0,Binge Drinking,Arizona,2022,AZ,Graham,Health Risk Behaviors,38779,POINT (-109.887402691851 32.9327553402921),6980
130,20.0,Binge Drinking,Alaska,2022,AK,Aleutians West,Health Risk Behaviors,5122,POINT (-110.244912258458 52.7943036111183),1044
131,18.0,Binge Drinking,California,2022,CA,Sonoma,Health Risk Behaviors,482650,POINT (-122.887568125266 38.5287343227086),89290
132,22.0,Binge Drinking,Alaska,2022,AK,Dillingham,Health Risk Behaviors,4723,POINT (-158.236178154164 59.7978171220014),1024
133,14.0,Binge Drinking,Arkansas,2022,AR,Sharp,Health Risk Behaviors,17810,POINT (-91.4796648363714 36.1612525766705),2529
134,14.0,Binge Drinking,Arkansas,2022,AR,Cross,Health Risk Behaviors,16601,POINT (-90.7714945147511 35.2958747021642),2373
135,20.0,Binge Drinking,Alaska,2022,AK,Chugach,Health Risk Behaviors,6874,POINT (-145.846670254475 60.7148095406379),1395
136,19.0,Binge Drinking,California,2022,CA,Colusa,Health Risk Behaviors,21914,POINT (-122.238126872813 39.1776793679318),4141
137,18.0,Binge Drinking,Arizona,2022,AZ,Maricopa,Health Risk Behaviors,4551524,POINT (-112.491401814525 33.3490920459607),805619
138,18.0,Binge Drinking,California,2022,CA,Napa,Health Risk Behaviors,134300,POINT (-122.330692396629 38.5067022702407),24442
139,16.0,Binge Drinking,Arkansas,2022,AR,Crawford,Health Risk Behaviors,61075,POINT (-94.2424245667651 35.5884321173193),9588
140,16.0,Binge Drinking,California,2022,CA,Fresno,Health Risk Behaviors,1015190,POINT (-119.64899454546 36.7581714404224),165475
141,17.0,Binge Drinking,California,2022,CA,Sacramento,Health Risk Behaviors,1584169,POINT (-121.34451940892 38.4486270273732),266140
142,15.0,Binge Drinking,Alabama,2022,AL,Madison,Health Risk Behaviors,403565,POINT (-86.550355969647 34.7630088775779),62149
143,14.0,Binge Drinking,Alabama,2022,AL,Clay,Health Risk Behaviors,14198,POINT (-85.8606604130173 33.2693085517833),1930
144,16.0,Binge Drinking,Arkansas,2022,AR,Clark,Health Risk Behaviors,21250,POINT (-93.1767308539705 34.0510757211807),3315
145,16.0,Binge Drinking,Arkansas,2022,AR,Craighead,Health Risk Behaviors,113017,POINT (-90.6329336830579 35.8308246644221),18195
146,19.0,Binge Drinking,California,2022,CA,Alpine,Health Risk Behaviors,1190,POINT (-119.820667930537 38.5974751291386),230
147,20.0,Binge Drinking,Arkansas,2022,AR,Washington,Health Risk Behaviors,256054,POINT (-94.2156793425187 35.9788480792297),49930
148,15.0,Binge Drinking,Arkansas,2022,AR,Carroll,Health Risk Behaviors,28742,POINT (-93.5382990189827 36.340959511681),4368
149,16.0,Binge Drinking,Arizona,2022,AZ,Cochise,Health Risk Behaviors,125663,POINT (-109.751384831901 31.8794588523568),19854
150,19.0,Binge Drinking,California,2022,CA,Marin,Health Risk Behaviors,256018,POINT (-122.72355494043 38.0735138436081),49411
151,12.0,Binge Drinking,Arkansas,2022,AR,Monroe,Health Risk Behaviors,6564,POINT (-91.2039164853539 34.6778463256655),800
152,14.0,Binge Drinking,Alabama,2022,AL,Cherokee,Health Risk Behaviors,25302,POINT (-85.6038430238838 34.1758355642538),3592
153,16.0,Binge Drinking,Arkansas,2022,AR,Logan,Health Risk Behaviors,21253,POINT (-93.7171626255792 35.2148866321463),3336
154,13.0,Binge Drinking,Arkansas,2022,AR,Nevada,Health Risk Behaviors,8181,POINT (-93.3071170868575 33.6633038300917),1088
155,19.0,Binge Drinking,Arizona,2022,AZ,Greenlee,Health Risk Behaviors,9302,POINT (-109.240185682696 33.215200364114),1730
156,16.0,Binge Drinking,Arkansas,2022,AR,Jackson,Health Risk Behaviors,16624,POINT (-91.2146324874827 35.5993609746175),2609
157,16.0,Binge Drinking,Arkansas,2022,AR,Pope,Health Risk Behaviors,64065,POINT (-93.034485700416 35.4480772563332),10442
158,16.0,Binge Drinking,Alabama,2022,AL,Elmore,Health Risk Behaviors,89563,POINT (-86.1484340236509 32.5970686891064),13882
159,14.0,Binge Drinking,Alabama,2022,AL,Marion,Health Risk Behaviors,29156,POINT (-87.8871984960778 34.1365876476739),4081
160,17.0,Binge Drinking,California,2022,CA,Solano,Health Risk Behaviors,448747,POINT (-121.932781028652 38.2699375647315),76286
161,15.0,Binge Drinking,Arkansas,2022,AR,Sebastian,Health Risk Behaviors,129059,POINT (-94.2747115384126 35.1994487114465),18842
162,21.0,Binge Drinking,Alaska,2022,AK,Denali,Health Risk Behaviors,1585,POINT (-150.011615254067 63.6714884543977),336
163,13.0,Binge Drinking,Arkansas,2022,AR,Fulton,Health Risk Behaviors,12382,POINT (-91.817888079321 36.3816206347765),1646
164,15.0,Binge Drinking,Arkansas,2022,AR,Izard,Health Risk Behaviors,14048,POINT (-91.9133749044468 36.0947862703415),2051
165,19.0,Binge Drinking,California,2022,CA,Stanislaus,Health Risk Behaviors,551275,POINT (-120.997769063577 37.5591258572026),105844
166,12.0,Binge Drinking,Alabama,2022,AL,Choctaw,Health Risk Behaviors,12439,POINT (-88.2631706219377 32.0198224293383),1455
167,16.0,Binge Drinking,California,2022,CA,Modoc,Health Risk Behaviors,8511,POINT (-120.725180763953 41.5897153747434),1361
168,17.0,Binge Drinking,California,2022,CA,Plumas,Health Risk Behaviors,19351,POINT (-120.838269553404 40.0042609776687),3212
169,12.0,Binge Drinking,Alabama,2022,AL,Clarke,Health Risk Behaviors,22515,POINT (-87.8308687688628 31.6768474292414),2791
170,15.0,Binge Drinking,Arizona,2022,AZ,Gila,Health Risk Behaviors,53922,POINT (-110.812096582079 33.7999645115514),8142
171,14.0,Binge Drinking,Alabama,2022,AL,Etowah,Health Risk Behaviors,103088,POINT (-86.0349319631417 34.0451449448922),14432
172,15.0,Binge Drinking,Arkansas,2022,AR,Union,Health Risk Behaviors,37752,POINT (-92.5973698311478 33.1712847934414),5549
173,14.0,Binge Drinking,Alabama,2022,AL,Colbert,Health Risk Behaviors,58033,POINT (-87.8049657872681 34.7004396828047),8298
174,18.0,Binge Drinking,California,2022,CA,Amador,Health Risk Behaviors,41412,POINT (-120.650760892534 38.4464297028895),7412
175,12.0,Binge Drinking,Alabama,2022,AL,Montgomery,Health Risk Behaviors,226361,POINT (-86.2076996333806 32.220703470576),27389
176,14.0,Binge Drinking,Arkansas,2022,AR,Searcy,Health Risk Behaviors,7918,POINT (-92.6994901353755 35.9111264752522),1076
177,11.0,Binge Drinking,Alabama,2022,AL,Lowndes,Health Risk Behaviors,9777,POINT (-86.6500611800636 32.1550262402887),1046
178,16.0,Binge Drinking,Arizona,2022,AZ,Santa Cruz,Health Risk Behaviors,48759,POINT (-110.846572235272 31.525984062461),7947
179,13.0,Binge Drinking,Alabama,2022,AL,Crenshaw,Health Risk Behaviors,13025,POINT (-86.3135271841638 31.7314522019174),1745
180,20.0,Binge Drinking,Alaska,2022,AK,Ketchikan Gateway,Health Risk Behaviors,13741,POINT (-130.936350933263 55.586579401666),2761
181,9.0,Binge Drinking,Alabama,2022,AL,Greene,Health Risk Behaviors,7422,POINT (-87.9519483428688 32.8530437219041),675
182,15.0,Binge Drinking,Arkansas,2022,AR,Polk,Health Risk Behaviors,19337,POINT (-94.2282210393227 34.4858592435429),2842
183,16.0,Binge Drinking,California,2022,CA,Calaveras,Health Risk Behaviors,46563,POINT (-120.554047814815 38.2047708244318),7589
184,13.0,Binge Drinking,Alabama,2022,AL,Pickens,Health Risk Behaviors,18697,POINT (-88.0891310718596 33.2807870081005),2430
185,17.0,Binge Drinking,Arkansas,2022,AR,Saline,Health Risk Behaviors,127357,POINT (-92.6765172938046 34.6466455813868),21523
186,17.0,Binge Drinking,California,2022,CA,San Joaquin,Health Risk Behaviors,793229,POINT (-121.271085290011 37.9345365020323),134055
187,18.0,Binge Drinking,Alaska,2022,AK,Haines,Health Risk Behaviors,2056,POINT (-135.500167586106 59.119335495324),374
188,18.0,Binge Drinking,California,2022,CA,Nevada,Health Risk Behaviors,102293,POINT (-120.767818372764 39.3015981047531),18105
189,16.0,Binge Drinking,Arizona,2022,AZ,Pima,Health Risk Behaviors,1057597,POINT (-111.790179841763 32.0975237350697),168157
190,15.0,Binge Drinking,Alabama,2022,AL,Morgan,Health Risk Behaviors,124211,POINT (-86.8530296512976 34.453569812448),18134
191,15.0,Binge Drinking,Arkansas,2022,AR,Johnson,Health Risk Behaviors,26001,POINT (-93.4598912643847 35.5697554205716),3900
192,20.0,Binge Drinking,California,2022,CA,San Benito,Health Risk Behaviors,67579,POINT (-121.074673078268 36.605429011687),13245
193,15.0,Binge Drinking,Alabama,2022,AL,Lauderdale,Health Risk Behaviors,95878,POINT (-87.6540983850983 34.9014438477101),14285
194,16.0,Binge Drinking,Arizona,2022,AZ,Navajo,Health Risk Behaviors,108650,POINT (-110.321421073074 35.3997521187229),16949
195,15.0,Binge Drinking,Arkansas,2022,AR,Madison,Health Risk Behaviors,17486,POINT (-93.7242584115005 36.0113363272212),2657
196,15.0,Binge Drinking,Alabama,2022,AL,Coffee,Health Risk Behaviors,54805,POINT (-85.9880914738148 31.4024803007311),8385
197,15.0,Binge Drinking,Arkansas,2022,AR,Miller,Health Risk Behaviors,42552,POINT (-93.8924281761086 33.3123156126392),6297
198,18.0,Binge Drinking,Arkansas,2022,AR,Benton,Health Risk Behaviors,302863,POINT (-94.2558310001198 36.3389781548829),53303
199,15.0,Binge Drinking,Alabama,2022,AL,Winston,Health Risk Behaviors,23755,POINT (-87.373658054727 34.1492657099146),3491
200,14.0,Binge Drinking,Arkansas,2022,AR,Bradley,Health Risk Behaviors,10135,POINT (-92.1624834155635 33.466623700772),1378
201,18.0,Binge Drinking,California,2022,CA,Alameda,Health Risk Behaviors,1628997,POINT (-121.888566503138 37.6463311425304),294848
202,12.0,Binge Drinking,Alabama,2022,AL,Marengo,Health Risk Behaviors,18745,POINT (-87.7895124506775 32.2478854975948),2249
203,16.0,Binge Drinking,Arkansas,2022,AR,Columbia,Health Risk Behaviors,22216,POINT (-93.2275288321248 33.2144070346383),3510
204,16.0,Binge Drinking,Alabama,2022,AL,Lee,Health Risk Behaviors,180773,POINT (-85.3550362108983 32.601254498925),28923
205,18.0,Binge Drinking,California,2022,CA,Del Norte,Health Risk Behaviors,27082,POINT (-123.897120966337 41.7431608613822),4874
